url	verb	hash	graphname
https://search.idigbio.org/v2/search/records/?rq=%7B%22genus%22%3A%22Menopon%22%2c%22hasImage%22%3A%22true%22%7D	http://purl.org/pav/hasVersion	hash://sha256/f9da53dd9f274f98cec61ebb4a0aa9e772bfd0309793adb97e416359c2958296	urn:uuid:8240499b-0467-46b4-9ca6-d7b2ee4932be
https://search.idigbio.org/v2/view/mediarecords/5b2e89ad-f0a2-469e-9d16-d8159bb43aa2	http://purl.org/pav/hasVersion	hash://sha256/ce29f6dd13013c139b2da520cd56de26a611c91d9b5f4adae2bb1f2f81dca6b5	urn:uuid:fe00719d-ca32-44b1-9261-a4b10e4b9676
https://api.idigbio.org/v2/media/5b2e89ad-f0a2-469e-9d16-d8159bb43aa2?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/6de78ca59dd4c88fa41aed3f344afe8ce602c031ea264e4510eecd5538e5ba12	urn:uuid:236630d2-577f-4d58-9681-1adc8a16e684
https://api.idigbio.org/v2/media/5b2e89ad-f0a2-469e-9d16-d8159bb43aa2?size=webview	http://purl.org/pav/hasVersion	hash://sha256/7d494dc28fb967a023bb1bec0b473fcf07d74e06e52bcb9e8f2da5f266b8aa2d	urn:uuid:51e3c764-2a81-4f30-bb2e-8466d08e9d81
https://api.idigbio.org/v2/media/5b2e89ad-f0a2-469e-9d16-d8159bb43aa2?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/b07bb748fdebdf662630b34da34c54a8d67edfede1f23c2456ad420a42c93e28	urn:uuid:77d34c33-7bab-4e7c-890f-188650e07668
https://search.idigbio.org/v2/view/mediarecords/e663bd73-ab81-4945-86b0-45d6b1c32fad	http://purl.org/pav/hasVersion	hash://sha256/2680acee2404f25a5433639341817880c04f9ecff71748f57a1f7aed6c44d349	urn:uuid:38fcd71e-f9ad-43ab-b344-0c9507e7ae54
https://api.idigbio.org/v2/media/e663bd73-ab81-4945-86b0-45d6b1c32fad?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/25f35a3409a160b0ae77df5bdfd1f1c573e542472ee3bd1dd1cb5cbab91d6ba0	urn:uuid:243f2b7d-d2a8-4fb4-ac3e-e9fd287e404b
https://api.idigbio.org/v2/media/e663bd73-ab81-4945-86b0-45d6b1c32fad?size=webview	http://purl.org/pav/hasVersion	hash://sha256/33e51b23f69aa9802adf461bf14312e94b814359094de9c9e8618c79ebb6493e	urn:uuid:e02edd8a-bdaa-4a2a-a878-cce76f74e917
https://api.idigbio.org/v2/media/e663bd73-ab81-4945-86b0-45d6b1c32fad?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/559cf9e0ad124419c5fc1f8e8c4565418da0f62bf63d8a9b9ce7ea50f5adb2ed	urn:uuid:501dcd2e-e1ba-4a3d-a2c0-43e6790900da
https://search.idigbio.org/v2/view/mediarecords/b5fd6c00-eeb4-4958-9d7b-c7d04f02c34d	http://purl.org/pav/hasVersion	hash://sha256/fdd97ce4e9e13a55b039d8972cc52aecfe3a4d6ab54a04dba359aa4e11f2d9fa	urn:uuid:f9a62d2f-5fe9-488e-80c7-a8d5e90cb5d7
https://api.idigbio.org/v2/media/b5fd6c00-eeb4-4958-9d7b-c7d04f02c34d?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/28b22b41708e91d67b86ce133dc1d83551b330e5e14ffa4c7b465decb55fcd1b	urn:uuid:bdf6062b-cae6-4551-b45f-9ec6532d8100
https://api.idigbio.org/v2/media/b5fd6c00-eeb4-4958-9d7b-c7d04f02c34d?size=webview	http://purl.org/pav/hasVersion	hash://sha256/f70f30f8c2a60a5c7899e63f7b6ab1e006bb0fb577d49121f04af5e0ae67a3fe	urn:uuid:8409250c-4b8c-4df4-85b6-c17dfc0c7855
https://api.idigbio.org/v2/media/b5fd6c00-eeb4-4958-9d7b-c7d04f02c34d?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/b12fa60d30b7beafaf3c54298dc82e9f86e177dcb226cc5204415854e56597ce	urn:uuid:24e9fb46-2f5b-4e09-9ab5-c343b46fb771
https://search.idigbio.org/v2/view/mediarecords/2b012b1a-6896-4868-b166-f73778c10c0d	http://purl.org/pav/hasVersion	hash://sha256/fdadb3b1e1001a76c0684015e1459488b907e22df89283e82e3cddd5985c1709	urn:uuid:ff444394-8e99-46f5-bec6-3f2ca4d469c7
https://api.idigbio.org/v2/media/2b012b1a-6896-4868-b166-f73778c10c0d?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/a8e967478d0a3f60795203077b93cf858cb2af80ad4f4eef727dcec6b1ac27cd	urn:uuid:23500126-4a48-44e6-b929-75241d16dfa3
https://api.idigbio.org/v2/media/2b012b1a-6896-4868-b166-f73778c10c0d?size=webview	http://purl.org/pav/hasVersion	hash://sha256/71e8b278bc7f24a683697f045fc07381a61c555146e5612741dd4d0e572ef362	urn:uuid:7ad687a9-2e40-4e27-ac0c-56cb921b6cc0
https://api.idigbio.org/v2/media/2b012b1a-6896-4868-b166-f73778c10c0d?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/54303eb6ea1ec7437f9e0451f19a7adf063a5800a69e24d6c277f83f08c2de37	urn:uuid:b6e74114-8b70-4972-b8ec-4af8789e60ba
https://search.idigbio.org/v2/view/mediarecords/7b64b150-5e30-4dc8-8c88-2bd5098b14f3	http://purl.org/pav/hasVersion	hash://sha256/06343c9c7224b15aa683cd78e12bd5e0a327facb1b83095535e19c5a4bb8655f	urn:uuid:972bcc9a-26ab-4e84-a8bf-b3c5fdb6915b
https://api.idigbio.org/v2/media/7b64b150-5e30-4dc8-8c88-2bd5098b14f3?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/857058c7b8b6e6b59e4434f5ac81dd33a34936bc3438d3bb0435f033ab2ec108	urn:uuid:ac2cb14d-f0d1-445f-8faa-593e7c4f2a00
https://api.idigbio.org/v2/media/7b64b150-5e30-4dc8-8c88-2bd5098b14f3?size=webview	http://purl.org/pav/hasVersion	hash://sha256/f123c51fd19d12de51d5b100c701115b7c782b99deedce931a5c8169464be2ba	urn:uuid:09bbffc6-eaa5-403c-8f17-19bd0d66feba
https://api.idigbio.org/v2/media/7b64b150-5e30-4dc8-8c88-2bd5098b14f3?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/bd478c6c45164872f2af497d9f1adff7cc43d648a6a055ecb4d0d6aaf4afc763	urn:uuid:333ef744-0473-4067-bb04-fd2d809598e1
https://search.idigbio.org/v2/view/mediarecords/d7d54df6-43f2-4c9d-b7dc-8f7c677e9dfd	http://purl.org/pav/hasVersion	hash://sha256/2b322fa1645389cfb6ce481dc3002d4ee884ab87e0ba8189e618ebd78aee28f6	urn:uuid:32f3726c-cdb4-427e-8b57-7449b7af1537
https://api.idigbio.org/v2/media/d7d54df6-43f2-4c9d-b7dc-8f7c677e9dfd?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/791d7af6b92d0a1402b1f8ed79d9dee6fc0b9bcd6f0e88e3cf6f54e50776b584	urn:uuid:f210175c-7d5a-4839-8d9c-47366d795e06
https://api.idigbio.org/v2/media/d7d54df6-43f2-4c9d-b7dc-8f7c677e9dfd?size=webview	http://purl.org/pav/hasVersion	hash://sha256/de9f7c9ea49205ab22de1426d45de0053f3589da8fcd6a08623a75bc4b429833	urn:uuid:98e17b4c-0172-4855-a6b4-1ebbe52f17c4
https://api.idigbio.org/v2/media/d7d54df6-43f2-4c9d-b7dc-8f7c677e9dfd?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/b18df9d2aa21f56b80e8fbf731bc76387fd88fec6d10a63754b63e29a1d03248	urn:uuid:09467911-f4ec-43e0-b169-ff2d64076ba2
https://search.idigbio.org/v2/view/mediarecords/ef6dc948-f621-4718-b3e7-8f411e708cae	http://purl.org/pav/hasVersion	hash://sha256/1f47e536d2a4bddd7d4b147ffd4a616e20bf440e6f1779f2d95c2240df9461ab	urn:uuid:acc29f87-06df-4611-a4ba-f0982baab155
https://api.idigbio.org/v2/media/ef6dc948-f621-4718-b3e7-8f411e708cae?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/f6154706efb8e7e9a03e5b5b4d2a54bf9da10a84a9d154627a666674e7466b81	urn:uuid:0ca386dd-5d6e-480c-baa4-54f791d51c24
https://api.idigbio.org/v2/media/ef6dc948-f621-4718-b3e7-8f411e708cae?size=webview	http://purl.org/pav/hasVersion	hash://sha256/0399953f87e0ff1d20112b2d853aaa21216d894a4d370bf25a2c7ae1fbbff5e0	urn:uuid:a585a008-c4e9-498b-abc6-1ae48fd46905
https://api.idigbio.org/v2/media/ef6dc948-f621-4718-b3e7-8f411e708cae?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/e10d5ace61e6a1eb4349dab724a5c407dca4d121467d07d6aa324b34f88d1e4e	urn:uuid:2d66e7ff-bdf9-466c-abed-11d643ea5e07
https://search.idigbio.org/v2/view/mediarecords/a0676f1a-f92f-441b-b1b7-08f1a3c4b2d1	http://purl.org/pav/hasVersion	hash://sha256/c9956fda49df71758dfba27675816bb8a1b977ccc0a24061da9c9a2f5c0375f4	urn:uuid:9ce25e7b-4f77-45d2-800b-d4033e2ff8ee
https://api.idigbio.org/v2/media/a0676f1a-f92f-441b-b1b7-08f1a3c4b2d1?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/6f5209ccd1ead72fc8f3d297cb81b964a98ea5f7a105fcae7f598a2c1bab4357	urn:uuid:0a13f1f8-88fb-479b-8c5d-2ddcbd1daf91
https://api.idigbio.org/v2/media/a0676f1a-f92f-441b-b1b7-08f1a3c4b2d1?size=webview	http://purl.org/pav/hasVersion	hash://sha256/d78376894592d412276a149e948a5ce01a671ca4c6dc6106dc042c40c68d2c0a	urn:uuid:42416117-a563-45c8-a984-a9a8278dfa3d
https://api.idigbio.org/v2/media/a0676f1a-f92f-441b-b1b7-08f1a3c4b2d1?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/2694cf0bf84d39560e84262614b0ff873c35bfd212d1b530dfb359fe2de75498	urn:uuid:9fe30e87-0e92-4f8a-870a-234cdd843c4d
https://search.idigbio.org/v2/view/mediarecords/dd0224c7-dbed-4f12-b10e-9f27a0aa8b4a	http://purl.org/pav/hasVersion	hash://sha256/f546b97fc7b554088ebb6e66dd02ec92b85cf4e4be51d1ae08bdbeb866d34227	urn:uuid:a04a5a0b-ecf5-4955-a212-bf0acf5b325c
https://api.idigbio.org/v2/media/dd0224c7-dbed-4f12-b10e-9f27a0aa8b4a?size=thumbnail	http://purl.org/pav/hasVersion	hash://sha256/4a1ad74153bd4fccfa3579b730ed838bb535f8315073a0966c125ce86a90bc36	urn:uuid:5e28dac7-f662-44f1-8048-98019128b39f
https://api.idigbio.org/v2/media/dd0224c7-dbed-4f12-b10e-9f27a0aa8b4a?size=webview	http://purl.org/pav/hasVersion	hash://sha256/d7e693de5a8afdf4b6607d97fb6f379f8723d25b70fe51d1575a4830b0737249	urn:uuid:120cff40-4614-4789-82bf-b9d63107b5c5
https://api.idigbio.org/v2/media/dd0224c7-dbed-4f12-b10e-9f27a0aa8b4a?size=fullsize	http://purl.org/pav/hasVersion	hash://sha256/2a9aef8d1180a1400c914740564964ba60828c3e8832e3b47927c0f08c309d97	urn:uuid:507159e5-c294-4497-a661-9d7363950ce1
